trip_id,service_type,distance_km,duree_h,traction,type_train,nom_operateur,pays_origine,pays_destination,trajet_domestique,frequence_semaine
OCESN105241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1959:20261030,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,6
OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1728:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,3
OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2215:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,5
OCESN105350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:600:20261207,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1046:20261007,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,2
OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1045:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,5
OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1021:20261009,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,3
OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1327:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1609:20261212,Jour,2.3,0.12,,Navette,SNCF,FR,FR,True,7
OCESN105431F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:734:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,2
OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:907:20261007,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,2
OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:913:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,5
OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:916:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:911:20261206,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN105437F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1116:20261007,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,2
OCESN105437F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1115:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN105442F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1950:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,2
OCESN105451F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2046:20261206,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,1
OCESN105455F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2330:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,2
OCESN105485F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1526:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN105750F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2112:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,6
OCESN106306F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1423:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,6
OCESN106306F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1423:20261206,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,1
OCESN106330F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:720:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN106331F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:835:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN106340F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1217:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN106342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1714:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN106347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2202:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,6
OCESN106350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:547:20261207,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN106355F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1827:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,5
OCESN106367F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1824:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN106377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1315:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN106378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1546:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN106442F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1929:20261206,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN106445F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1057:20261009,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,2
OCESN106445F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1059:20261006,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN106445F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1055:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,5
OCESN106450F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2034:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN106461F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:2244:20261211,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,2
OCESN106485F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1512:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN106600F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:615:20261212,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,6
OCESN107241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2019:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN107260F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1912:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
OCESN107261F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:813:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,2
OCESN107284F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1502:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN107300F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:635:20261212,Jour,2.3,0.1,,Navette,SNCF,FR,FR,True,7
OCESN107306F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1434:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN107359F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2145:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN107455F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1813:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,7
OCESN107486F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1145:20261212,Jour,2.3,0.08,,Navette,SNCF,FR,FR,True,1
